COUNTY,CENTER,PHONE,AGES,CAPACITY,CITY,ADDR1,ADDR2,ZIP,Full Address,lon,lat
Hudson,Junior Prep Pre School,201-864-1856,0 to 13,86,Union City,1003-1007 Summit Ave,,7087,"1003-1007 Summit Ave,Union City, NJ 7087",-74.0506919,40.7488309
Hudson,Kiddee Korner Day Care Management Corporation,201-432-1338,0 to 13,160,Jersey City,304-308 Martin Luther King Dr,,7304,"304-308 Martin Luther King Dr,Jersey City, NJ 7304",-74.080425,40.709357
Hudson,The Kids Place,201-662-4844,0 to 13,64,West New York,128-130 62nd Street,,7093,"128-130 62nd Street,West New York, NJ 7093",-74.0083538,40.7885541
Hudson,"Kids World, Inc.",201-758-1000,0 to 13,131,West New York,5818 Jefferson Street,,7093,"5818 Jefferson Street,West New York, NJ 7093",-74.0208577,40.7901374
Hudson,Kiddie Corner 15th Street,201-867-6915,0 to 13,60,Union City,427-15th Street,,7087,"427-15th Street,Union City, NJ 7087",-74.0361153,40.7615807
Hudson,Kiddie Land Learning Center,201-758-1700,0 to 13,50,West New York,214 61st Street,,7093,"214 61st Street,West New York, NJ 7093",-74.010449,40.788236
Hudson,"Kiddie Castle Day Care Center, Inc.",201-863-0323,0 to 6,30,Secaucus,772 Humboldt Street,,7094,"772 Humboldt Street,Secaucus, NJ 7094",-74.0582456,40.7895837
Hudson,Kids Place II,201-330-8255,0 to 13,43,West New York,5701 Jackson Street,,7093,"5701 Jackson Street,West New York, NJ 7093",-74.0204992,40.7883859
Hudson,Kidz City,201-792-8895,0 to 6,28,Hoboken,834 Washington Street,,7030,"834 Washington Street,Hoboken, NJ 7030",-74.0282731,40.7472681
Hudson,The Learning Zone for Infants and Toddler,201-339-2229,0 to 2½,24,Bayonne,763 Ave C,,7002,"763 Ave C,Bayonne, NJ 7002",-74.1134316,40.6736081
Mercer,Hightstown East Windsor YMCA Childcare,609-448-1357,0 to 13,120,Hightstown,230 Mercer Street,,8520,"230 Mercer Street,Hightstown, NJ 8520",-74.5281228,40.2671672
Mercer,Titusville Child Development Center,609-730-2040,0 to 13,195,Titusville,1125 Trenton-Harbourton Rd,,8560,"1125 Trenton-Harbourton Rd,Titusville, NJ 8560",-74.8471603,40.292916
Mercer,Justice Juniors Child Care Center,609-984-9561,0 to 6,45,Trenton,25 Market Street,Hughes Justice Complex,08625-0236,"25 Market Street,Trenton, NJ 08625-0236",-74.7641428,40.2137113
Mercer,Kids Ink,609-771-6040,0 to 13,270,Ewing Township,1676 N Olden Ave,,8638,"1676 N Olden Ave,Ewing Township, NJ 8638",-74.7639453,40.246809
Middlesex,"Little Treasures Learning Center, LLC",908-769-3224,0 to 13,331,Edison,2177 Oak Tree Rd,,8820,"2177 Oak Tree Rd,Edison, NJ 8820",-74.3857106,40.5767886
Monmouth,A B Seas Schoolhouse,732-872-2123,0 to 6,54,Atlantic Highlands,967 Hwy 36,,7716,"967 Hwy 36,Atlantic Highlands, NJ 7716",-74.047199,40.412127
Monmouth,A Little Class PreSchool II,732-502-8906,0 to 13,91,Asbury Park,1235-37 Monroe Ave,,7712,"1235-37 Monroe Ave,Asbury Park, NJ 7712",-74.024479,40.221506
Morris,Bayer Discovery Days,862-404-5701,0 to 13,120,Morristown,25 Whippany Rd Aka 36 Colmbia,,7962,"25 Whippany Rd Aka 36 Colmbia,Morristown, NJ 7962",-74.4815438,40.7967667
Morris,Blue Skies Day Care,973-625-1455,0 to 6,20,Rockaway,83 W Main Street,,7866,"83 W Main Street,Rockaway, NJ 7866",-74.5151516,40.9008446
Morris,Bright Horizons Children's Center,973-829-0768,0 to 13,104,Parsippany,11 Dryden Way,,7054,"11 Dryden Way,Parsippany, NJ 7054",-74.4483069,40.8452995
Morris,Bright Horizons Child Development Center-Mt. Lakes,973-541-4700,0 to 13,109,Mountain Lakes,333 Route 46 West,,7046,"333 Route 46 West,Mountain Lakes, NJ 7046",-74.4591457,40.8859174
Essex,"Neighborhood Child Care Center, Inc.",973-744-4228,0 to 13,85,Montclair,30 Maple Ave,,7042,"30 Maple Ave,Montclair, NJ 7042",-74.211489,40.8061099
Essex,Newark Day Center,973-643-5710,0 to 6,238,Newark,305 Halsey St /41 Hill St.,,7102,"305 Halsey St /41 Hill St.,Newark, NJ 7102",-74.176362,40.732508
Essex,Norjenes I Day Care Center,973-675-0213,0 to 13,45,Orange,365-373 Lincoln Ave,,7050,"365-373 Lincoln Ave,Orange, NJ 7050",-74.241286,40.764902
Essex,The Nursery School of Christ Church,973-743-7582,0 to 6,102,Glen Ridge,74 Park Ave,,7028,"74 Park Ave,Glen Ridge, NJ 7028",-74.2011384,40.798747
Hudson,"Little Angel of New Jersey, LLC",201-863-5593,0 to 13,96,West New York,443 - 54th Street,,7093,"443 - 54th Street,West New York, NJ 7093",-74.0187724,40.7849142
Hudson,The Little Neighborhood Learning Center,201-998-7384,0 to 13,117,Kearny,429 Kearny Ave,,7032,"429 Kearny Ave,Kearny, NJ 7032",-74.1477969,40.7655769
Hudson,Little Darlings,201-271-0972,0 to 13,81,Union City,152 48th Street,,7087,"152 48th Street,Union City, NJ 7087",-74.0175825,40.7797185
Hudson,Little Friends,201-246-7733,0 to 13,150,Kearny,650 Kearny Ave,,7032,"650 Kearny Ave,Kearny, NJ 7032",-74.1433629,40.773399
Hudson,Little Smiles Infant-Toddler Center,201-792-7774,0 to 13,27,Jersey City,40a - 40b Congress,,7307,"40a - 40b Congress,Jersey City, NJ 7307",-74.0415872,40.7493387
Hudson,Alice In Wonderland,201-223-4488,0 to 13,30,Union City,725 - 17th Street,,7087,"725 - 17th Street,Union City, NJ 7087",-74.039248,40.764227
Middlesex,Mae J. Strong Child Development Center,732-249-4299,0 to 6,179,New Brunswick,120 Livingston Ave,,08903-1167,"120 Livingston Ave,New Brunswick, NJ 08903-1167",-74.4479244,40.4896057
Middlesex,"Metuchen Edison Community Day Care, Inc.",732-548-5468,0 to 13,131,Metuchen,200 Hillside Ave,T/A Centenary Child Care Ctr.,8840,"200 Hillside Ave,Metuchen, NJ 8840",-74.3537268,40.5444381
Middlesex,"Middlesex Baby Spa, LLC",732-356-9940,0 to 13,60,Middlesex,484 Union Ave,,8846,"484 Union Ave,Middlesex, NJ 8846",-74.5102877,40.5732642
Morris,Carousel of Learning,973-884-2052,0 to 6,89,Parsippany,244 Kingston Rd,,7054,"244 Kingston Rd,Parsippany, NJ 7054",-74.4386306,40.8605592
Morris,Chatham United Methodist Mother's Morning Out,973-635-7740,0 to 2½,22,Chatham,460 Main Street,,7928,"460 Main Street,Chatham, NJ 7928",-74.3907165,40.7444588
Morris,Children's Circle,973-884-3652,0 to 13,104,Parsippany,335 Reynolds Ave,St. Andrew Lutheran Church,7054,"335 Reynolds Ave,Parsippany, NJ 7054",-74.402264,40.843722
Morris,The Child Development Center at Giralda,973-660-7700,0 to 13,160,Madison,Five Giralda Farms,,7940,"Five Giralda Farms,Madison, NJ 7940",-74.4356321,40.7569516
Morris,Cradles To Crayons Childcare-Morristown,973-538-1717,0 to 6,140,Morristown,16 Pine Street,,7960,"16 Pine Street,Morristown, NJ 7960",-74.4780604,40.7952136
Essex,One Two Three Kinderstar Day Sch DBA 123 Kinderstar Day Sch.,973-575-0388,0 to 13,100,Fairfield,123 Fairfield Rd,,7004,"123 Fairfield Rd,Fairfield, NJ 7004",-74.2989008,40.8746226
Essex,"Over the Rainbow Nursery, Inc.",973-744-5905,0 to 6,114,Montclair,32 Pleasant Ave,,7042,"32 Pleasant Ave,Montclair, NJ 7042",-74.221395,40.7961683
Essex,Page Academy II,973-705-9500,0 to 6,30,Newark,426-428 Chancellor Ave,,7112,"426-428 Chancellor Ave,Newark, NJ 7112",-74.2253312,40.7114323
Essex,"The Pampered Child, Inc.",973-226-1278,0 to 13,80,Roseland,182 Eagle Rock Ave,,7068,"182 Eagle Rock Ave,Roseland, NJ 7068",-74.295316,40.821733
Essex,"Precious Littles Early Childhood Development Center, Inc.",973-371-2451,0 to 13,52,Newark,1099 S Orange Ave,,7106,"1099 S Orange Ave,Newark, NJ 7106",-74.234235,40.7458556
Essex,The Prep School (For Babies and Children),973-371-1408,0 to 13,98,Irvington,33 Myrtle Ave,,7111,"33 Myrtle Ave,Irvington, NJ 7111",-74.2274324,40.7276334
Hudson,"A Whole New World Academy, Inc.",201-792-0253,0 to 6,58,Hoboken,721 Washington Street,,07030-5001,"721 Washington Street,Hoboken, NJ 07030-5001",-74.0280517,40.7454085
Hudson,Baby Galileo Preschool & Daycare,201-798-0343,0 to 13,29,Jersey City,360 Grove Street,,7302,"360 Grove Street,Jersey City, NJ 7302",-74.0425694,40.7212584
Hudson,Baby Galileo Preschool & Daycare,201-798-0343,0 to 13,59,Jersey City,175 Newark Ave,Unit L3,7302,"175 Newark Ave,Jersey City, NJ 7302",-74.0454422,40.7210173
Hunterdon,Bright Tomorrows,908-788-6540,0 to 6,84,Flemington,500 Wescott Dr,,8822,"500 Wescott Dr,Flemington, NJ 8822",-74.8607634,40.5337925
Hunterdon,Foundations Preschool,908-730-9195,0 to 6,135,Annandale,14 Lower W St & 11 Humphrey Rd,,8801,"14 Lower W St & 11 Humphrey Rd,Annandale, NJ 8801",-87.250844,30.4123893
Middlesex,Montessori Academy and Learning Center,732-438-0400,0 to 13,49,Dayton,485 Georges Rd Ste 119,,8810,"485 Georges Rd Ste 119,Dayton, NJ 8810",-74.5184726,40.3810504
Middlesex,"New Friends Child Care and Preschool, Inc.",732-572-2022,0 to 13,55,Edison,2027 Woodbridge Ave,,8817,"2027 Woodbridge Ave,Edison, NJ 8817",-74.4011199,40.500612
Middlesex,Noah's Ark Academy,732-985-0001,0 to 13,76,Highland Park,900 Raritan Ave,,8904,"900 Raritan Ave,Highland Park, NJ 8904",-74.4200195,40.5023788
Morris,"Dover Child Care Center, Inc. Infant/Toddler and Pre-School",973-366-0277,0 to 13,90,Dover,50 N Morris Street,,7801,"50 N Morris Street,Dover, NJ 7801",-74.557494,40.886249
Morris,The Learning Experience at Parsippany,973-331-3215,0 to 6,182,Parsippany,1159 Parsippany Blvd,,7054,"1159 Parsippany Blvd,Parsippany, NJ 7054",-74.4222176,40.8675948
Morris,The Learning Experience at Ledgewood,973-927-1446,0 to 13,181,Ledgewood,986 Rt. 46,,7852,"986 Rt. 46,Ledgewood, NJ 7852",-74.6428471,40.8788228
Morris,"Lil Peoples Playhouse, Inc.",908-647-0950,0 to 6,49,Stirling,1288 Valley Rd,,7980,"1288 Valley Rd,Stirling, NJ 7980",-74.493539,40.668141
Morris,"Little Learner Academy, Inc.",973-983-0600,0 to 13,270,Rockaway,25 Greenpond Rd Suite 2,,7866,"25 Greenpond Rd Suite 2,Rockaway, NJ 7866",-74.5022605,40.9134714
Morris,Little Learner Academy,973-691-9430,0 to 13,103,Budd Lake,30 Old Budd Lake Rd,,7828,"30 Old Budd Lake Rd,Budd Lake, NJ 7828",-74.720791,40.889544
Morris,"Little People's Academy, Inc.",973-361-0695,0 to 13,67,Dover,141 E Blackwell Street,,7801,"141 E Blackwell Street,Dover, NJ 7801",-74.55125,40.8852015
Morris,Little Duck Day School,973-822-8100,0 to 6,87,Florham Park,11 Hanover Road & 3 James Stre,,7932,"11 Hanover Road & 3 James Stre,Florham Park, NJ 7932",-74.386741,40.788554
Morris,Little Achievements Child Care Center,973-601-1111,0 to 6,51,Landing,290 Mt. Arlington Blvd,,7850,"290 Mt. Arlington Blvd,Landing, NJ 7850",-74.650869,40.917028
Morris,Little Bears Day Care,973-616-0306,0 to 13,27,Pompton Plains,22 - 24 Evans Pl,,7444,"22 - 24 Evans Pl,Pompton Plains, NJ 7444",-74.2944737,40.9691053
Essex,Rainbow Child Care Center,973-226-3814,0 to 6,99,Roseland,144 Eagle Rock Ave,,7068,"144 Eagle Rock Ave,Roseland, NJ 7068",-74.291488,40.821202
Essex,Kiddie Korner Learning Center,973-484-5166,0 to 13,75,Newark,319-321 Verona Ave,,7104,"319-321 Verona Ave,Newark, NJ 7104",-74.167838,40.783911
Essex,Kiddie World Daycare,973-429-8440,0 to 13,68,Bloomfield,147-151 & 155-157 Grove Street,,7003,"147-151 & 155-157 Grove Street,Bloomfield, NJ 7003",127.089143,37.5607693
Essex,Kids Foundation Day Care Center LLC,973-672-1933,0 to 13,30,East Orange,382 Central Ave,,7018,"382 Central Ave,East Orange, NJ 7018",-74.2171386,40.7566716
Essex,KinderCare at Work #1271,973-535-3336,0 to 13,165,Livingston,100 Old Short Hills Rd,,7039,"100 Old Short Hills Rd,Livingston, NJ 7039",-74.3046527,40.7626389
Hunterdon,The Goddard School,908-237-2050,0 to 13,120,Flemington,4 Minneakoning Rd,,8822,"4 Minneakoning Rd,Flemington, NJ 8822",-74.8550859,40.5282616
Hunterdon,Hunterdon County YMCA Child Learning Center,908-236-0055,0 to 13,75,Annandale,1410 Route 22 West,,8801,"1410 Route 22 West,Annandale, NJ 8801",-74.8527731,40.6441504
Hunterdon,KinderCare Learning Center,908-284-9699,0 to 13,180,Flemington,4 Royal Rd,,8822,"4 Royal Rd,Flemington, NJ 8822",-74.8458069,40.507436
Middlesex,Bright Horizons at Metro Park,732-906-3910,0 to 13,90,South Iselin,200 Wood Ave,,8830,"200 Wood Ave,South Iselin, NJ 8830",-74.3233652,40.5604328
Middlesex,Tutor Time Child Care Learning Center,732-287-8880,0 to 13,180,Edison,"1 Ethel Rd, Ste 105a",Durham Center,8817,"1 Ethel Rd, Ste 105a,Edison, NJ 8817",-74.3959008,40.5394741
Middlesex,Apple Hill Academy Learning Center,732-679-2450,0 to 13,167,Old Bridge,2500 Route 9 S,,8857,"2500 Route 9 S,Old Bridge, NJ 8857",-74.3085675,40.3975748
Middlesex,Unitarian Society Montessori School,732-246-0606,0 to 6,60,East Brunswick,176 Tices La,,8816,"176 Tices La,East Brunswick, NJ 8816",-74.4227974,40.4546169
Middlesex,Our Savior's Child Care Center,732-548-0523,0 to 13,83,Edison,50 Calvert Ave-East,,8820,"50 Calvert Ave-East,Edison, NJ 8820",-74.3529658,40.5634335
Morris,"Loving & Learning Christian Childcare Center, Inc.",973-208-8540,0 to 13,30,Oak Ridge,5669 Berkshire Valley Rd,,7438,"5669 Berkshire Valley Rd,Oak Ridge, NJ 7438",-74.509817,41.030808
Morris,Madison Cooperative Nursery School,973-377-2501,0 to 6,49,Madison,4 Madison Ave,,7940,"4 Madison Ave,Madison, NJ 7940",-74.4194529,40.7607323
Morris,Flanders Valley Country Day School,973-927-7372,0 to 13,82,Flanders,6 Bartley - Chester Rd,,7836,"6 Bartley - Chester Rd,Flanders, NJ 7836",-74.7203497,40.8269746
Morris,The F M Kirby Children's Center,973-377-4945,0 to 13,335,Madison,54 E Street,,7940,"54 E Street,Madison, NJ 7940",-73.9915744,40.9407155
Morris,The Goddard School,973-328-8588,0 to 13,152,Denville,3175 Route 10,Suite # 1,7834,"3175 Route 10,Denville, NJ 7834",-74.52572,40.871999
Morris,The Goddard School,973-584-1154,0 to 13,135,Randolph,1570 Sussex Tpke,,7869,"1570 Sussex Tpke,Randolph, NJ 7869",-74.623903,40.8577749
Morris,Goddard School,973-299-9600,0 to 13,165,Towaco,2 Jacksonville Rd,,7082,"2 Jacksonville Rd,Towaco, NJ 7082",-74.3387616,40.9262295
Morris,The Goddard School,973-598-1555,0 to 13,120,Flanders,244 Rte. 206 S,,7836,"244 Rte. 206 S,Flanders, NJ 7836",-74.7086655,40.8394809
Morris,"HeadStart Community Program of Morris County, Inc.",973-989-1430,0 to 6,176,Dover,18 Thompson Ave,Dover Site,7801,"18 Thompson Ave,Dover, NJ 7801",-74.561046,40.882343
Morris,Imagine and Learn Childcare Center,973-328-8888,0 to 13,28,Dover,15 1/2 Mcfarlan Street,,7801,"15 1/2 Mcfarlan Street,Dover, NJ 7801",-74.55954,40.887853
Essex,West Essex YMCA Peanut Shell Nurs & CCC,973-533-1511,0 to 6,137,Livingston,7 Regent Street Bldg. 706,,7039,"7 Regent Street Bldg. 706,Livingston, NJ 7039",-74.351142,40.800708
Essex,World of Kiddie Kingdom Infant Center,973-373-4100,0 to 13,30,Irvington,1200 Clinton Ave,,7111,"1200 Clinton Ave,Irvington, NJ 7111",-74.2320192,40.7281069
Gloucester,ABC Me Grow Child Day Care and Learning Center,856-740-4769,0 to 13,30,Williamstown,3747 S Black Horse Pike,,8094,"3747 S Black Horse Pike,Williamstown, NJ 8094",-74.921539,39.618808
Gloucester,"Alphabet Corner Preschool, Inc.",856-241-0132,0 to 13,59,Swedesboro,501 Glen Echo Ave,,8085,"501 Glen Echo Ave,Swedesboro, NJ 8085",-75.301852,39.74435
Gloucester,"Bambi Preschool, Inc.",856-478-2468,0 to 13,57,Mullica Hill,621 Ferrell Road,,8062,"621 Ferrell Road,Mullica Hill, NJ 8062",-75.2181454,39.6766949
Gloucester,Beacon Academy,856-582-6199,0 to 13,158,Sewell,570 D Egg Harbor Rd,Harbor Pavilions,8080,"570 D Egg Harbor Rd,Sewell, NJ 8080",-75.062286,39.7343488
Gloucester,Beckett Christian Preschool,856-467-9252,0 to 13,117,Logan Twp,1566 Center Square Rd,,8085,"1566 Center Square Rd,Logan Twp, NJ 8085",-75.354057,39.752074
Hunterdon,Mount Airy Happy Time School,609-397-8041,0 to 13,59,Lambertville,1293 State Route 179,,8530,"1293 State Route 179,Lambertville, NJ 8530",-74.9165445,40.3881136
Mercer,"Forrest Valley Day Care Center, Inc.",609-392-8720,0 to 13,81,Hamilton,409 Ridge Ave,,8610,"409 Ridge Ave,Hamilton, NJ 8610",-74.722326,40.204695
Mercer,The Goddard School of Hamilton,609-631-9311,0 to 13,120,Hamilton Township,2500 Kuser Rd,,8691,"2500 Kuser Rd,Hamilton Township, NJ 8691",-74.658089,40.205656
Mercer,The Goddard School-Hamilton II,609-588-0880,0 to 13,107,Hamilton,3564 Quakerbridge Rd Ste 11,,08619-1206,"3564 Quakerbridge Rd Ste 11,Hamilton, NJ 08619-1206",-74.6807375,40.2575449
Mercer,The Goddard School,609-734-0909,0 to 13,167,Princeton,29 Emmons Dr,,8540,"29 Emmons Dr,Princeton, NJ 8540",-74.6654067,40.3114975
Mercer,The Goddard School,609-883-6800,0 to 13,152,Ewing,158 Scotch Rd,,8628,"158 Scotch Rd,Ewing, NJ 8628",-74.8022651,40.2737984
Middlesex,Peppermint Tree Child Care at Raritan,732-225-7400,0 to 13,120,Edison,165 Fieldcrest Ave,,8837,"165 Fieldcrest Ave,Edison, NJ 8837",-74.3468229,40.5115634
Middlesex,"Plaza Child Care, Inc.",908-753-1505,0 to 6,167,Edison,Tcm Plaza,4 Progress St Ste A3,8820,"Tcm Plaza,Edison, NJ 8820",-74.4120953,40.5187154
Middlesex,"Precious Moments Academy, Inc.",732-424-0770,0 to 13,58,Dunellen,358 North Avenue,,8812,"358 North Avenue,Dunellen, NJ 8812",-74.4642116,40.5911452
Middlesex,"Precious Gifts Day Care Center, LLC",732-424-8110,0 to 6,24,Dunellen,400 New Market Rd,,8812,"400 New Market Rd,Dunellen, NJ 8812",-74.4603635,40.5823066
Morris,Joyful Noise Nursery School & D C C,973-539-9514,0 to 6,163,Morris Plains,400 Speedwell Ave,,7950,"400 Speedwell Ave,Morris Plains, NJ 7950",-74.4812198,40.8240778
Morris,Kindercare Learning Center,908-684-9273,0 to 13,181,Mt Olive,7r Naughright Rd,,7828,"7r Naughright Rd,Mt Olive, NJ 7828",-74.7805663,40.8512098
Morris,King's Kids Day Care Center,973-463-0123,0 to 6,72,Whippany,43 - 45 S Jefferson Rd,,7981,"43 - 45 S Jefferson Rd,Whippany, NJ 7981",-74.436108,40.823668
Morris,Kindercare Learning Center,973-428-3724,0 to 13,181,Whippany,45 Whippany Rd,,7981,"45 Whippany Rd,Whippany, NJ 7981",-74.4142793,40.8195552
Morris,KinderCare Learning Center,973-601-9440,0 to 13,170,Mount Arlington,181 Howard Blvd,,7856,"181 Howard Blvd,Mount Arlington, NJ 7856",-74.6365197,40.9033108
Morris,KinderCare Learning Center,973-625-4555,0 to 13,69,Denville,162 E Main Street,,7834,"162 E Main Street,Denville, NJ 7834",-74.4789788,40.8873098
Gloucester,Chesterbrook Academy,856-589-5800,0 to 13,178,Sewell,279 Egg Harbor Rd,,8080,"279 Egg Harbor Rd,Sewell, NJ 8080",-75.0867588,39.76555
Gloucester,Glassboro Child Development Center-Main,856-881-3331,0 to 13,82,Glassboro,35 S Main Street,,8028,"35 S Main Street,Glassboro, NJ 8028",-75.1126087,39.7011664
Gloucester,The Goddard School,856-256-8200,0 to 13,120,Sewell,3 Plaza Dr,,8080,"3 Plaza Dr,Sewell, NJ 8080",-75.0781533,39.7392565
Gloucester,The Goddard School,856-478-4045,0 to 13,120,Mullica Hill,233 N Main Street,,8062,"233 N Main Street,Mullica Hill, NJ 8062",-75.2100198,39.7550095
Gloucester,The Goddard School in Swedesboro,856-467-8477,0 to 13,176,Swedesboro,553 Beckett Rd Ste 301,,8085,"553 Beckett Rd Ste 301,Swedesboro, NJ 8085",-75.354058,39.762153
Middlesex,"Remsterville Learning Center, The Next Generation, Inc.",609-655-2828,0 to 13,98,Monroe Twp,230 Prospect Plains Rd,,8831,"230 Prospect Plains Rd,Monroe Twp, NJ 8831",-74.4725002,40.3245011
Middlesex,"Robin Jay Nursery School, Inc.",732-254-3505,0 to 13,53,Old Bridge,110 Charles Street,,8857,"110 Charles Street,Old Bridge, NJ 8857",-74.3588296,40.4092257
Middlesex,"Rutgers-Livingston Day Care Center, Inc.",732-445-4747,0 to 6,67,Piscataway,49 Joyce Kilmer Ave,,8854,"49 Joyce Kilmer Ave,Piscataway, NJ 8854",-74.4335922,40.5234563
Middlesex,"Creative Children's Academy., Inc.",732-821-1010,0 to 13,60,North Brunswick,303 Old Georges Rd,,8902,"303 Old Georges Rd,North Brunswick, NJ 8902",-74.4751218,40.4415011
Middlesex,Crossroads Early Learning Center,732-251-3221,0 to 13,100,East Brunswick,114 Old Stage Rd,,8816,"114 Old Stage Rd,East Brunswick, NJ 8816",-74.3826792,40.4092737
Monmouth,Rainbow World Preschool Center,732-370-3222,0 to 13,75,Howell,106 Windeler Rd,,7731,"106 Windeler Rd,Howell, NJ 7731",-74.2217532,40.1685923
Monmouth,Saint Paul's Tender Care Nursery,732-775-1125,0 to 6,84,Ocean Grove,80 Embury Ave,,7756,"80 Embury Ave,Ocean Grove, NJ 7756",-74.009602,40.211332
Monmouth,Saint Ann Child Care Center,732-787-7220,0 to 6,78,Keansburg,121 Main Street,,7734,"121 Main Street,Keansburg, NJ 7734",-74.130253,40.44715
Monmouth,Spice Tree School,732-787-0808,0 to 13,60,Belford,180 Church Street,,7718,"180 Church Street,Belford, NJ 7718",-74.0930579,40.4246774
Gloucester,"Repauno PreSchool Day Care Center, Inc.",856-423-3222,0 to 6,111,Gibbstown,171 N Repauno Ave,,8027,"171 N Repauno Ave,Gibbstown, NJ 8027",-75.29342,39.829288
Gloucester,Shady Lane Child Development Center,856-224-8701,0 to 13,199,Clarksboro,256 County House Rd,,8020,"256 County House Rd,Clarksboro, NJ 8020",-75.211969,39.799515
Gloucester,Small World Infant Center,856-697-3106,0 to 6,30,Newfield,101 Hunter Dr,,8344,"101 Hunter Dr,Newfield, NJ 8344",-75.005508,39.549588
Gloucester,"Teach Your Children, Inc.",856-464-0101,0 to 6,35,Sewell,4 Blackwood Barnsboro Rd,,8080,"4 Blackwood Barnsboro Rd,Sewell, NJ 8080",-75.1336788,39.7697722
Gloucester,Toddlers 'N Tots,856-423-4242,0 to 13,177,Clarksboro,270 Landing Rd,,8020,"270 Landing Rd,Clarksboro, NJ 8020",-75.2264327,39.8032775
Gloucester,Tra-Cee Nursery School (Woodbury Center),856-845-2600,0 to 13,60,Woodbury,67 Oak Street,,8096,"67 Oak Street,Woodbury, NJ 8096",-75.1509164,39.844793
Gloucester,"Tra-Cee Nursery School, Inc.",856-423-5890,0 to 13,60,Paulsboro,337 Mantua Ave,,8066,"337 Mantua Ave,Paulsboro, NJ 8066",-75.2384427,39.8441222
Gloucester,Tutor Time Child Care Learning Center,856-232-7655,0 to 13,180,Sewell,123 Egg Harbor Rd,,8080,"123 Egg Harbor Rd,Sewell, NJ 8080",-75.1011437,39.7810764
Gloucester,Under the Sun Learning Center of West Deptford,856-468-5454,0 to 13,156,West Deptford,1111 Mantua Pike (Rt 45) And,1107 Mantua Pike Suite 708,8051,"1111 Mantua Pike (Rt 45) And,West Deptford, NJ 8051",-75.170117,39.801335
Gloucester,Watch Me Grow Preschool and Child Care,856-224-5868,0 to 13,45,Gibbstown,400 Swedesboro Rd,,8027,"400 Swedesboro Rd,Gibbstown, NJ 8027",-75.2646189,39.817549
Gloucester,Watch Me Learn Preschool/Daycare,856-241-2330,0 to 13,100,Swedesboro,1980 Township Line Rd,,8085,"1980 Township Line Rd,Swedesboro, NJ 8085",-75.351326,39.745942
Gloucester,"Woodbury Child Development Center, Inc.",856-845-2243,0 to 13,142,Woodbury,36 Carpenter Street,,8096,"36 Carpenter Street,Woodbury, NJ 8096",-75.1550632,39.8326373
Mercer,Busy Bee Nursery-Kindergarten School,609-448-3883,0 to 6,73,East Windsor,364 Dutch Neck Rd,,8520,"364 Dutch Neck Rd,East Windsor, NJ 8520",-74.555484,40.272423
Mercer,Children's Center at the Lawrenceville School,609-844-1237,0 to 6,45,Lawrenceville,2500 Main Street,Unit 1832,8648,"2500 Main Street,Lawrenceville, NJ 8648",-74.7290116,40.2945368
Mercer,The Child Development Center at Bristol-Myers Squibb - Penni,609-818-6200,0 to 13,225,Pennington,311 Pennington-Rocky Hill Rd,,8534,"311 Pennington-Rocky Hill Rd,Pennington, NJ 8534",-74.7726578,40.3454322
Mercer,Church of Christ Wee Nursery,609-586-0440,0 to 13,59,Hamilton,2329 Liberty Street,,8629,"2329 Liberty Street,Hamilton, NJ 8629",-74.725948,40.218547
Middlesex,Douglass Psychology Child Study Center,848-932-8881,0 to 6,39,New Brunswick,26 Nichol Avenue Room 27,Davison Hall,8901,"26 Nichol Avenue Room 27,New Brunswick, NJ 8901",-74.437274,40.484384
Middlesex,Edgar Child Care Center,732-632-8633,0 to 6,49,Metuchen,150 Lake Ave,,8840,"150 Lake Ave,Metuchen, NJ 8840",-74.3635132,40.5346041
Middlesex,Edison Branch Childcare Center,732-494-3232,0 to 13,163,Edison,1775 Oak Tree Rd,,8820,"1775 Oak Tree Rd,Edison, NJ 8820",-74.3500025,40.5714026
Middlesex,The First Class,732-463-1900,0 to 13,117,Piscataway,111 Suttons La,,8854,"111 Suttons La,Piscataway, NJ 8854",-74.4351189,40.5284154
Middlesex,Gan Yeladeem Learning Center/David H. Meyer Children's Ctr.,732-545-6484,0 to 6,60,New Brunswick,222 Livingston Ave,,8901,"222 Livingston Ave,New Brunswick, NJ 8901",-74.451607,40.4855188
Middlesex,Garden Friends,732-721-2620,0 to 13,97,Old Bridge,3018 Bordentown Ave,,8859,"3018 Bordentown Ave,Old Bridge, NJ 8859",-74.3482203,40.4255872
Middlesex,The Goddard School of Dayton,732-274-9631,0 to 6,110,Dayton,399 Ridge Rd Ste 1,,8810,"399 Ridge Rd Ste 1,Dayton, NJ 8810",-74.5134046,40.3742089
Middlesex,The Goddard School of Woodbridge,732-283-0090,0 to 13,154,Iselin,400 Gill Lane,,8830,"400 Gill Lane,Iselin, NJ 8830",-74.3130211,40.5601479
Middlesex,The Goddard School of Spotswood,732-723-0900,0 to 13,120,Spotswood,206 Summerhill Rd,,8884,"206 Summerhill Rd,Spotswood, NJ 8884",-74.3864561,40.4029793
Middlesex,The Goddard School of Sayreville,732-525-1300,0 to 13,120,Parlin,3079 Bordentown Ave,,8859,"3079 Bordentown Ave,Parlin, NJ 8859",-74.311876,40.453299
